name;year
Gefei Tan;2023
Xiao Wang;2023
Jennie Rogers;2023
Soamar Homsi;2023
Dimitrios Karapiperis;2023
Christos Tjortjis;2023
Vassilios S. Verykios;2023
Ahsan Ali;2022
Riccardo Pinciroli;2022
Feng Yan 0001;2022
Evgenia Smirni;2022
Anja Feldmann;2021
Jieming Shi;2020
Tianyuan Jin;2020
Renchi Yang;2020
Xiaokui Xiao;2020
Yin Yang 0001;2020
Magdalena Balazinska;2022
Surajit Chaudhuri;2022
AnHai Doan;2022
Joseph M. Hellerstein;2022
Hanuma Kodavalla;2022
Ippokratis Pandis;2022
Matei Zaharia;2022
Alexander Renz-Wieland;2021
Tobias Drobisch;2021
Zoi Kaoudi;2021
Rainer Gemulla;2021
Volker Markl;2021
Qian Li 0027;2023
Peter Kraft;2023
Michael J. Cafarella;2023
Çagatay Demiralp;2023
Goetz Graefe;2023
Christos Kozyrakis;2023
Michael Stonebraker;2023
Lalith Suresh;2023
Xiangyao Yu;2023
Matei Zaharia;2023
Ziyue Huang;2022
Yuan Qiu 0002;2022
Ke Yi 0001;2022
Graham Cormode;2022
Chrysovalantis Anastasiou;2021
Constantinos Costa;2021
Panos K. Chrysanthis;2021
Cyrus Shahabi;2021
Wissam Maamar Kouadri;2020
Mourad Ouziri;2020
Salima Benbernou;2020
Karima Echihabi;2020
Themis Palpanas;2020
Iheb Ben Amor;2020
Johns Paul;2020
Bingsheng He;2020
Shengliang Lu;2020
Chiew Tong Lau;2020
Saeed Kargar;2021
Faisal Nawab;2021
Karla Saur;2022
Tara Mirmira;2022
Konstantinos Karanasos;2022
Jesús Camacho-Rodríguez;2022
Zixuan Geng;2022
Maximilian Schleich;2022
Dan Suciu;2022
Susie Xi Rao;2021
Shuai Zhang;2021
Zhichao Han;2021
Zitao Zhang;2021
Wei Min;2021
Zhiyao Chen;2021
Yinan Shan;2021
Yang Zhao;2021
Ce Zhang 0001;2021
Mijin An;2023
Jonghyeok Park;2023
Tianzheng Wang 0001;2023
Beomseok Nam;2023
Sang-Won Lee 0001;2023
Jiong Xie;2022
Zhen Chen;2022
Jianwei Liu;2022
Fang Wang;2022
Feifei Li 0001;2022
Zhida Chen;2022
Yinpei Liu;2022
Songlu Cai;2022
Zhenhua Fan;2022
Fei Xiao;2022
Yue Chen;2022
Christian Garcia-Arellano;2020
Adam J. Storm;2020
David Kalmuk;2020
Hamdi Roumani;2020
Ronald Barber;2020
Yuanyuan Tian;2020
Richard Sidle;2020
Fatma Özcan;2020
Matt Spilchen;2020
Josh Tiefenbach;2020
Daniel C. Zilio;2020
Lan Pham;2020
Kostas Rakopoulos;2020
Alexander Cheung;2020
Darren Pepper;2020
Imran Sayyid;2020
Gidon Gershinsky;2020
Gal Lushi;2020
Hamid Pirahesh;2020
Yuliang Li 0001;2020
Jinfeng Li;2020
Yoshihiko Suhara;2020
AnHai Doan;2020
Wang-Chiew Tan;2020
Yuyang Dong;2023
Chuan Xiao 0001;2023
Takuma Nozawa;2023
Masafumi Enomoto;2023
Masafumi Oyamada;2023
Jinfei Liu;2021
Jian Lou 0001;2021
Junxu Liu;2021
Li Xiong 0001;2021
Jian Pei;2021
Jimeng Sun 0001;2021
Prithu Banerjee;2020
Laks V. S. Lakshmanan;2020
Wei Chen 0013;2020
Mijin An;2022
Soojun Im;2022
Dawoon Jung;2022
Sang Won Lee 0001;2022
Kazuo Goda;2020
Yuto Hayamizu;2020
Hiroyuki Yamada;2020
Masaru Kitsuregawa;2020
Kajetan Jeremi Maliszewski;2023
Jorge-Arnulfo Quiané-Ruiz;2023
Volker Markl;2023
Rana Alotaibi;2020
Bogdan Cautis;2020
Alin Deutsch;2020
Moustafa Latrache;2020
Ioana Manolescu;2020
Yifei Yang;2020
Arul Ajmani;2022
Aayush Shah;2022
